order_id,store_id,order_date,order_time,sku,product_name,quantity
ORD-2026-01-08-S03-0001,STORE03,2026-01-08,16:00:54,SKU00067,Céréales Étranger,1
ORD-2026-01-08-S03-0001,STORE03,2026-01-08,16:00:54,SKU00024,Oranges Boire,4
ORD-2026-01-08-S03-0001,STORE03,2026-01-08,16:00:54,SKU00069,Glace Pain,2
ORD-2026-01-08-S03-0001,STORE03,2026-01-08,16:00:54,SKU00085,Biscuits Défendre,3
ORD-2026-01-08-S03-0001,STORE03,2026-01-08,16:00:54,SKU00097,Huile Curiosité,3
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00023,Pâtes Inconnu,1
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00011,Frites Remonter,5
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00040,Biscuits Cerveau,5
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00022,Savon Approcher,2
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00030,Pommes Eh,3
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00100,Sucre Émotion,5
ORD-2026-01-08-S03-0002,STORE03,2026-01-08,13:02:25,SKU00098,Lingettes Discuter,3
ORD-2026-01-08-S03-0003,STORE03,2026-01-08,14:32:28,SKU00013,Petits pots Saison,5
ORD-2026-01-08-S03-0003,STORE03,2026-01-08,14:32:28,SKU00019,Liquide vaisselle Baisser,3
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00041,Crème Chair,2
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00032,Conserves Conscience,1
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00049,Légumes surgelés Trésor,4
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00091,Lait infantile Fortune,3
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00025,Conserves Problème,3
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00030,Pommes Eh,5
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00055,Conserves Inviter,3
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00045,Thon Note,2
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00002,Crème Projet,2
ORD-2026-01-08-S03-0004,STORE03,2026-01-08,18:39:07,SKU00015,Crème Accuser,5
ORD-2026-01-08-S03-0005,STORE03,2026-01-08,14:32:02,SKU00042,Confiture Toit,1
