warehouse_code,sku,product_name,available_quantity,reserved_quantity,snapshot_date,snapshot_time
WH02,SKU00001,Boeuf Oreille,411,30,2026-01-08,23:59:59
WH02,SKU00002,Crème Projet,284,27,2026-01-08,23:59:59
WH02,SKU00003,Biscuits Part,438,48,2026-01-08,23:59:59
WH02,SKU00004,Saumon Comme,100,4,2026-01-08,23:59:59
WH02,SKU00005,Porc Étonner,409,19,2026-01-08,23:59:59
WH02,SKU00006,Huile Enfin,242,0,2026-01-08,23:59:59
WH02,SKU00007,Jus Beau,90,13,2026-01-08,23:59:59
WH02,SKU00008,Riz Inutile,255,8,2026-01-08,23:59:59
WH02,SKU00009,Tomates Ami,457,80,2026-01-08,23:59:59
WH02,SKU00010,Déodorant Saisir,264,34,2026-01-08,23:59:59
WH02,SKU00011,Frites Remonter,368,40,2026-01-08,23:59:59
WH02,SKU00012,Boeuf Entourer,402,62,2026-01-08,23:59:59
WH02,SKU00013,Petits pots Saison,153,8,2026-01-08,23:59:59
WH02,SKU00014,Eau En,287,54,2026-01-08,23:59:59
WH02,SKU00015,Crème Accuser,290,3,2026-01-08,23:59:59
WH02,SKU00016,Crème Boire,203,6,2026-01-08,23:59:59
WH02,SKU00017,Soda Vol,353,20,2026-01-08,23:59:59
WH02,SKU00018,Liquide vaisselle Sourire,30,1,2026-01-08,23:59:59
WH02,SKU00019,Liquide vaisselle Baisser,416,32,2026-01-08,23:59:59
WH02,SKU00020,Riz Ensuite,243,40,2026-01-08,23:59:59
WH02,SKU00021,Bananes Bien,49,7,2026-01-08,23:59:59
WH02,SKU00022,Savon Approcher,381,42,2026-01-08,23:59:59
WH02,SKU00023,Pâtes Inconnu,133,11,2026-01-08,23:59:59
WH02,SKU00024,Oranges Boire,184,35,2026-01-08,23:59:59
WH02,SKU00025,Conserves Problème,285,51,2026-01-08,23:59:59
WH02,SKU00026,Thon Espace,131,11,2026-01-08,23:59:59
WH02,SKU00027,Poisson pané Flot,10,1,2026-01-08,23:59:59
WH02,SKU00028,Carottes Tranquille,62,5,2026-01-08,23:59:59
WH02,SKU00029,Nettoyant Poids,444,86,2026-01-08,23:59:59
WH02,SKU00030,Pommes Eh,493,77,2026-01-08,23:59:59
WH02,SKU00031,Porc Rapport,101,18,2026-01-08,23:59:59
WH02,SKU00032,Conserves Conscience,294,41,2026-01-08,23:59:59
WH02,SKU00033,Sauce tomate Réunir,332,22,2026-01-08,23:59:59
WH02,SKU00034,Eau Rien,399,36,2026-01-08,23:59:59
WH02,SKU00035,Biscuits Peur,181,20,2026-01-08,23:59:59
WH02,SKU00036,Crème Étage,344,65,2026-01-08,23:59:59
WH02,SKU00037,Chocolat Peur,249,49,2026-01-08,23:59:59
WH02,SKU00038,Sauce tomate Montrer,377,57,2026-01-08,23:59:59
WH02,SKU00039,Crevettes Disparaître,455,10,2026-01-08,23:59:59
WH02,SKU00040,Biscuits Cerveau,195,39,2026-01-08,23:59:59
WH02,SKU00041,Crème Chair,146,14,2026-01-08,23:59:59
WH02,SKU00042,Confiture Toit,323,18,2026-01-08,23:59:59
WH02,SKU00043,Nettoyant Occasion,444,21,2026-01-08,23:59:59
WH02,SKU00044,Bananes Lentement,327,43,2026-01-08,23:59:59
WH02,SKU00045,Thon Note,215,40,2026-01-08,23:59:59
